split,target_id,sequence_length,description,description_truncated_80chars,category,matched_rule,confidence
train,1HLX_A,20,P1 HELIX NUCLEIC ACIDS (DNA/RNA) RIBONUCLEIC ACID,P1 HELIX NUCLEIC ACIDS (DNA/RNA) RIBONUCLEIC ACID,other,,low
train,1ZDI_S,19,RNA BACTERIOPHAGE MS2 COAT PROTEIN/RNA COMPLEX,RNA BACTERIOPHAGE MS2 COAT PROTEIN/RNA COMPLEX,other,,low
train,7MSF_S,14,MS2 PROTEIN CAPSID/RNA COMPLEX,MS2 PROTEIN CAPSID/RNA COMPLEX,other,,low
train,5MSF_S,18,MS2 PROTEIN CAPSID/RNA COMPLEX,MS2 PROTEIN CAPSID/RNA COMPLEX,other,,low
train,1QFQ_A,15,Bacteriophage Lambda N-protein-NutboxB-RNA Complex,Bacteriophage Lambda N-protein-NutboxB-RNA Complex,other,,low
train,1FOQ_A,120,PENTAMERIC MODEL OF THE BACTERIOPHAGE PHI29 PROHEAD RNA,PENTAMERIC MODEL OF THE BACTERIOPHAGE PHI29 PROHEAD RNA,other,,low
train,1FYO_A,27,EUKARYOTIC DECODING REGION A-SITE RNA,EUKARYOTIC DECODING REGION A-SITE RNA,other,,low
train,1S9S_A,101,SOLUTION STRUCTURE OF MLV PSI SITE,SOLUTION STRUCTURE OF MLV PSI SITE,other,,low
train,1T28_A,34,High resolution structure of a picornaviral internal cis-acting replication element,High resolution structure of a picornaviral internal cis-acting replication elem...,other,,low
train,1Y1Y_P,4,RNA Polymerase II-TFIIS-DNA/RNA complex,RNA Polymerase II-TFIIS-DNA/RNA complex,other,,low
train,1Z31_A,32,The structure of an enzyme-activating fragment of human telomerase RNA,The structure of an enzyme-activating fragment of human telomerase RNA,other,,low
train,2A64_A,417,Crystal Structure of Bacterial Ribonuclease P RNA,Crystal Structure of Bacterial Ribonuclease P RNA,other,,low
train,2B6G_B,19,RNA recognition by the Vts1 SAM domain,RNA recognition by the Vts1 SAM domain,other,,low
train,2B2E_R,19,"RNA stemloop from bacteriophage MS2 complexed with an N87S,E89K mutant MS2 capsid","RNA stemloop from bacteriophage MS2 complexed with an N87S,E89K mutant MS2 capsi...",other,,low
train,2B2E_S,19,"RNA stemloop from bacteriophage MS2 complexed with an N87S,E89K mutant MS2 capsid","RNA stemloop from bacteriophage MS2 complexed with an N87S,E89K mutant MS2 capsi...",other,,low
train,2EVY_A,14,GNYA tetranucleotide loops found in poliovirus oriL by in vivo SELEX (un)expectedly form a YNMG-like structure,GNYA tetranucleotide loops found in poliovirus oriL by in vivo SELEX (un)expecte...,other,,low
train,2IY3_B,110,Structure of the E. Coli Signal Regognition Particle,Structure of the E. Coli Signal Regognition Particle,other,,low
train,2IHX_B,75,Solution Structure of the Rous Sarcoma Virus Nucleocapsid Protein:uPsi RNA Packaging Signal Complex,Solution Structure of the Rous Sarcoma Virus Nucleocapsid Protein:uPsi RNA Packa...,other,,low
train,2OB7_D,86,Structure of tmRNA-(SmpB)2 complex as inferred from cryo-EM,Structure of tmRNA-(SmpB)2 complex as inferred from cryo-EM,other,,low
train,2FY1_B,21,A dual mode of RNA recognition by the RBMY protein,A dual mode of RNA recognition by the RBMY protein,other,,low
train,2JPP_C,20,Structural basis of RsmA/CsrA RNA recognition: Structure of RsmE bound to the Shine-Dalgarno sequence of hcnA mRNA,Structural basis of RsmA/CsrA RNA recognition: Structure of RsmE bound to the Sh...,other,,low
train,2OM3_R,3,High-resolution cryo-EM structure of Tobacco Mosaic Virus,High-resolution cryo-EM structure of Tobacco Mosaic Virus,other,,low
train,2K4C_A,76,tRNAPhe-based homology model for tRNAVal refined against base N-H RDCs in two media and SAXS data,tRNAPhe-based homology model for tRNAVal refined against base N-H RDCs in two me...,other,,low
train,3HAY_E,71,Crystal structure of a substrate-bound full H/ACA RNP from Pyrococcus furiosus,Crystal structure of a substrate-bound full H/ACA RNP from Pyrococcus furiosus,other,,low
train,2KHY_A,38,Specifier Domain of B. subtilis tyrS T box leader RNA,Specifier Domain of B. subtilis tyrS T box leader RNA,other,,low
train,2X7N_A,28,Mechanism of eIF6s anti-association activity,Mechanism of eIF6s anti-association activity,other,,low
train,3LWQ_D,58,Structure of H/ACA RNP bound to a substrate RNA containing 3MU,Structure of H/ACA RNP bound to a substrate RNA containing 3MU,other,,low
train,2L1F_A,65,Structure of a conserved retroviral RNA packaging element by NMR spectroscopy and cryo-electron tomography,Structure of a conserved retroviral RNA packaging element by NMR spectroscopy an...,other,,low
